* Measurement data measured by REW V5.20.8
* Source: Generic_1 [plughw:1,0], Capture (Capture), R, volume: 0.508
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Jul, 2022 10:34:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 10
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), dBFS(dBFS), Phase(degrees)
20.141602, -52.677, -50.3807
20.507813, -52.484, -50.9759
20.874023, -52.308, -51.4444
21.240234, -52.142, -51.8463
21.606445, -51.974, -52.3281
21.972656, -51.805, -52.9091
22.338867, -51.630, -53.4738
22.705078, -51.429, -53.9152
23.071289, -51.183, -54.2721
23.437500, -50.899, -54.7143
23.803711, -50.616, -55.3722
24.169922, -50.382, -56.1839
24.536133, -50.222, -56.9089
24.902344, -50.117, -57.2984
25.268555, -50.015, -57.3020
25.634766, -49.870, -57.1479
26.000977, -49.672, -57.1871
26.367188, -49.454, -57.6129
26.733399, -49.257, -58.3201
27.099610, -49.093, -59.0146
27.465821, -48.940, -59.4591
27.832032, -48.765, -59.6591
28.198243, -48.556, -59.8425
28.564454, -48.340, -60.2430
28.930665, -48.161, -60.8892
29.296876, -48.046, -61.5846
29.663087, -47.982, -62.0696
30.029298, -47.925, -62.2316
30.395509, -47.830, -62.2042
30.761720, -47.684, -62.2621
31.127931, -47.512, -62.5936
31.494142, -47.350, -63.1599
31.860353, -47.217, -63.7526
32.226563, -47.104, -64.1714
32.592774, -46.986, -64.3738
32.958985, -46.847, -64.4853
33.325196, -46.694, -64.6748
33.691407, -46.548, -65.0137
34.057618, -46.422, -65.4399
34.423829, -46.311, -65.8401
34.790040, -46.195, -66.1616
35.156251, -46.056, -66.4569
35.522462, -45.894, -66.8276
35.888673, -45.725, -67.3252
36.254884, -45.572, -67.9019
36.621095, -45.446, -68.4450
36.987306, -45.346, -68.8600
37.353517, -45.260, -69.1328
37.719728, -45.176, -69.3290
38.085939, -45.087, -69.5405
38.452150, -44.993, -69.8242
38.818361, -44.892, -70.1794
39.184572, -44.782, -70.5681
39.550783, -44.660, -70.9524
39.916994, -44.527, -71.3141
40.283205, -44.391, -71.6494
40.649416, -44.262, -71.9545
41.015627, -44.149, -72.2229
41.381838, -44.050, -72.4608
41.748049, -43.960, -72.7025
42.114260, -43.872, -73.0027
42.480471, -43.782, -73.4018
42.846682, -43.694, -73.8831
43.212893, -43.608, -74.3627
43.579103, -43.523, -74.7324
43.945314, -43.430, -74.9369
44.311525, -43.319, -75.0306
44.677736, -43.195, -75.1605
45.043947, -43.073, -75.4694
45.410158, -42.975, -75.9895
45.776369, -42.911, -76.6101
46.142580, -42.865, -77.1526
46.508791, -42.805, -77.5079
46.875002, -42.700, -77.7312
47.241213, -42.553, -77.9986
47.607424, -42.407, -78.4354
47.973635, -42.319, -78.9574
48.339846, -42.326, -79.2623
48.706057, -42.413, -78.9999
49.072268, -42.514, -78.0428
49.438479, -42.538, -76.6905
49.804690, -42.437, -75.5964
50.170901, -42.237, -75.3813
50.537112, -42.016, -76.2457
50.903323, -41.841, -77.8955
51.269534, -41.737, -79.7610
51.635745, -41.686, -81.3031
52.001956, -41.643, -82.2452
52.368167, -41.570, -82.6418
52.734378, -41.459, -82.7577
53.100589, -41.333, -82.8516
53.466800, -41.226, -83.0252
53.833011, -41.156, -83.2257
54.199222, -41.116, -83.3556
54.565432, -41.082, -83.3839
54.931643, -41.032, -83.3814
55.297854, -40.955, -83.4714
55.664065, -40.861, -83.7448
56.030276, -40.765, -84.2074
56.396487, -40.681, -84.7868
56.762698, -40.615, -85.3779
57.128909, -40.562, -85.8927
57.495120, -40.514, -86.2896
57.861331, -40.464, -86.5778
58.227542, -40.405, -86.8026
58.593753, -40.339, -87.0213
58.959964, -40.270, -87.2789
59.326175, -40.204, -87.5914
59.692386, -40.146, -87.9431
60.058597, -40.098, -88.2985
60.424808, -40.056, -88.6228
60.791019, -40.014, -88.8996
61.157230, -39.966, -89.1371
61.523441, -39.913, -89.3594
61.889652, -39.854, -89.5908
62.255863, -39.794, -89.8422
62.622074, -39.736, -90.1091
62.988285, -39.682, -90.3795
63.354496, -39.628, -90.6451
63.720707, -39.573, -90.9080
64.086918, -39.515, -91.1776
64.453129, -39.456, -91.4613
64.819340, -39.399, -91.7556
65.185551, -39.347, -92.0444
65.551762, -39.300, -92.3078
65.917972, -39.259, -92.5346
66.284183, -39.218, -92.7323
66.650394, -39.177, -92.9247
67.016605, -39.134, -93.1399
67.382816, -39.089, -93.3932
67.749027, -39.045, -93.6781
68.115238, -39.000, -93.9703
68.481449, -38.953, -94.2435
68.847660, -38.902, -94.4849
69.213871, -38.846, -94.7019
69.580082, -38.787, -94.9154
69.946293, -38.728, -95.1455
70.312504, -38.674, -95.3993
70.678715, -38.629, -95.6683
71.044926, -38.591, -95.9354
71.411137, -38.559, -96.1855
71.777348, -38.526, -96.4131
72.143559, -38.488, -96.6243
72.509770, -38.444, -96.8330
72.875981, -38.394, -97.0542
73.242192, -38.341, -97.2985
73.608403, -38.288, -97.5670
73.974614, -38.241, -97.8505
74.340825, -38.200, -98.1323
74.707036, -38.164, -98.3959
75.073247, -38.130, -98.6347
75.439458, -38.094, -98.8569
75.805669, -38.053, -99.0833
76.171880, -38.007, -99.3358
76.538091, -37.959, -99.6240
76.904301, -37.913, -99.9380
77.270512, -37.874, -100.2522
77.636723, -37.842, -100.5375
78.002934, -37.815, -100.7760
78.369145, -37.791, -100.9677
78.735356, -37.766, -101.1291
79.101567, -37.739, -101.2837
79.467778, -37.709, -101.4524
79.833989, -37.676, -101.6473
80.200200, -37.641, -101.8710
80.566411, -37.603, -102.1176
80.932622, -37.563, -102.3758
81.298833, -37.524, -102.6312
81.665044, -37.485, -102.8700
82.031255, -37.447, -103.0830
82.397466, -37.409, -103.2699
82.763677, -37.373, -103.4396
83.129888, -37.337, -103.6067
83.496099, -37.303, -103.7848
83.862310, -37.272, -103.9806
84.228521, -37.243, -104.1920
84.594732, -37.217, -104.4115
84.960943, -37.192, -104.6312
85.327154, -37.167, -104.8463
85.693365, -37.141, -105.0557
86.059576, -37.113, -105.2595
86.425787, -37.084, -105.4562
86.791998, -37.054, -105.6440
87.158209, -37.023, -105.8227
87.524420, -36.992, -105.9967
